EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1337254,29,No,Travel_Rarely,1389,Maternity,21,4,Life Sciences,1,2,Female,51,4,3,Therapist,1,Divorced,9980.0,10195,1,Y,No,11,3,3,80,1,10.0,1,3,10.0,9.0,1.0,8.0
1421335,32,No,Travel_Rarely,334,Maternity,5,2,Life Sciences,1,1,Male,80,4,1,Other,2,Divorced,3298.0,15053,0,Y,Yes,12,3,4,80,2,7.0,5,2,6.0,2.0,0.0,5.0
1262683,22,No,Non-Travel,1123,Maternity,16,2,Medical,1,4,Male,96,4,1,Nurse,4,Divorced,2935.0,7324,1,Y,Yes,13,3,2,80,2,1.0,2,2,1.0,0.0,0.0,0.0
1599218,53,No,Travel_Rarely,1219,Cardiology,2,4,Life Sciences,1,1,Female,78,2,4,Administrative,4,Married,15427.0,22021,2,Y,No,16,3,3,80,0,10.0,3,3,5.0,8.0,3.0,7.0
1634788,38,No,Travel_Rarely,371,Maternity,2,3,Life Sciences,1,4,Male,45,3,1,Other,4,Single,3944.0,4306,5,Y,Yes,11,3,3,80,0,6.0,3,3,3.0,2.0,1.0,2.0
1334559,24,No,Non-Travel,673,Maternity,11,2,Other,1,1,Female,96,4,2,Therapist,3,Divorced,4011.0,8232,0,Y,No,18,3,4,80,1,5.0,5,2,4.0,2.0,1.0,3.0
1402945,36,No,Travel_Rarely,1218,Cardiology,9,4,Life Sciences,1,3,Male,82,2,1,Other,1,Single,3407.0,6986,7,Y,No,23,4,2,80,0,10.0,4,3,5.0,3.0,0.0,3.0
1705718,34,No,Travel_Rarely,419,Neurology,7,4,Life Sciences,1,1,Female,53,3,3,Other,2,Single,11994.0,21293,0,Y,No,11,3,3,80,0,13.0,4,3,12.0,6.0,2.0,11.0
1880078,21,No,Travel_Rarely,391,Maternity,15,2,Life Sciences,1,3,Male,96,3,1,Other,4,Single,1232.0,19281,1,Y,No,14,3,4,80,0,0.0,6,3,0.0,0.0,0.0,0.0
1801346,34,No,Travel_Rarely,699,Maternity,6,1,Medical,1,2,Male,83,3,1,Other,1,Single,2960.0,17102,2,Y,No,11,3,3,80,0,8.0,2,3,4.0,2.0,1.0,3.0
1142160,53,No,Travel_Rarely,1282,Neurology,5,3,Other,1,3,Female,58,3,5,Other,3,Divorced,4899.0,10735,4,Y,No,11,3,4,80,1,26.0,3,2,14.0,13.0,4.0,8.0
1142062,32,Yes,Travel_Frequently,1125,Maternity,16,1,Life Sciences,1,2,Female,72,1,1,Other,1,Single,3919.0,4681,1,Y,Yes,22,4,2,80,0,10.0,5,3,10.0,2.0,6.0,7.0
1789756,42,No,Travel_Rarely,691,Cardiology,8,4,Marketing,1,3,Male,48,3,2,Nurse,2,Married,6825.0,21173,0,Y,No,11,3,4,80,1,10.0,2,3,9.0,7.0,4.0,2.0
1126009,44,No,Travel_Rarely,477,Maternity,7,4,Medical,1,1,Female,42,2,3,Nurse,4,Married,10248.0,2094,3,Y,No,14,3,4,80,1,24.0,4,3,5.0,6.0,5.0,3.0
1552176,46,No,Travel_Rarely,705,Cardiology,2,4,Marketing,1,2,Female,83,3,5,Administrative,1,Single,4899.0,22822,3,Y,No,12,3,4,80,0,22.0,2,2,2.0,2.0,2.0,1.0
1118605,33,No,Travel_Rarely,924,Maternity,2,3,Medical,1,3,Male,78,3,1,Nurse,4,Single,2496.0,6670,4,Y,No,11,3,4,80,0,7.0,3,3,1.0,1.0,0.0,0.0
1397325,44,No,Travel_Rarely,1459,Maternity,10,4,Other,1,4,Male,41,3,2,Nurse,4,Married,6465.0,19121,2,Y,Yes,13,3,4,80,0,9.0,5,4,4.0,2.0,1.0,3.0
1874834,30,No,Travel_Rarely,125,Maternity,9,2,Medical,1,4,Male,83,2,1,Nurse,3,Single,2206.0,16117,1,Y,No,13,3,1,80,0,10.0,5,3,10.0,0.0,1.0,8.0
1275746,39,No,Travel_Rarely,895,Cardiology,5,3,Technical Degree,1,4,Male,56,3,2,Other,4,Married,2086.0,3335,3,Y,No,14,3,3,80,1,19.0,6,4,1.0,0.0,0.0,0.0
1884939,24,Yes,Travel_Rarely,813,Maternity,1,3,Medical,1,2,Male,61,3,1,Other,4,Married,2293.0,3020,2,Y,Yes,16,3,1,80,1,6.0,2,2,2.0,0.0,2.0,0.0
1650304,43,No,Travel_Rarely,1273,Maternity,2,2,Medical,1,4,Female,72,4,1,Other,3,Divorced,2645.0,21923,1,Y,No,12,3,4,80,2,6.0,3,2,5.0,3.0,1.0,4.0
1058169,50,Yes,Travel_Rarely,869,Cardiology,3,2,Marketing,1,1,Male,86,2,1,Other,3,Married,2683.0,3810,1,Y,Yes,14,3,3,80,0,3.0,2,3,3.0,2.0,0.0,2.0
1319183,35,No,Travel_Rarely,890,Cardiology,2,3,Marketing,1,4,Female,97,3,1,Other,4,Married,2014.0,9687,1,Y,No,13,3,1,80,0,2.0,3,3,2.0,2.0,2.0,2.0
1872551,36,No,Travel_Rarely,852,Maternity,5,4,Life Sciences,1,2,Female,82,2,1,Other,1,Married,3419.0,13072,9,Y,Yes,14,3,4,80,1,6.0,3,4,1.0,1.0,0.0,0.0
1060693,33,No,Travel_Frequently,1141,Cardiology,1,3,Life Sciences,1,3,Female,42,4,2,Nurse,1,Married,5376.0,3193,2,Y,No,19,3,1,80,2,10.0,3,3,5.0,3.0,1.0,3.0
1110390,35,No,Travel_Rarely,464,Maternity,4,2,Other,1,3,Male,75,3,1,Nurse,4,Divorced,1951.0,10910,1,Y,No,12,3,3,80,1,1.0,3,3,1.0,0.0,0.0,0.0
1448895,27,No,Travel_Rarely,1240,Maternity,2,4,Life Sciences,1,4,Female,33,3,1,Nurse,1,Divorced,2341.0,19715,1,Y,No,13,3,4,80,1,1.0,6,3,1.0,0.0,0.0,0.0
1547220,26,Yes,Travel_Rarely,1357,Maternity,25,3,Life Sciences,1,1,Male,48,1,1,Nurse,3,Single,2293.0,10558,1,Y,No,12,3,3,80,0,1.0,2,2,1.0,0.0,0.0,1.0
1680993,27,No,Travel_Frequently,994,Cardiology,8,3,Life Sciences,1,4,Male,37,3,3,Nurse,3,Single,8726.0,2975,1,Y,No,15,3,4,80,0,9.0,0,3,9.0,8.0,1.0,7.0
1100187,30,No,Travel_Frequently,721,Maternity,1,2,Medical,1,3,Female,58,3,2,Nurse,4,Single,4011.0,10781,1,Y,No,23,4,4,80,0,12.0,2,3,12.0,8.0,3.0,7.0
1881631,41,No,Travel_Rarely,1360,Neurology,12,3,Technical Degree,1,2,Female,49,3,5,Other,3,Married,4899.0,16280,1,Y,No,12,3,4,80,0,23.0,0,3,5.0,3.0,1.0,8.0
1622068,34,No,Non-Travel,1065,Cardiology,23,4,Marketing,1,2,Male,72,3,2,Nurse,3,Single,4568.0,10034,0,Y,No,20,4,3,80,0,10.0,2,3,9.0,5.0,1.0,7.0
1336903,37,No,Travel_Rarely,408,Maternity,19,2,Life Sciences,1,2,Male,73,3,1,Other,2,Married,3022.0,10227,4,Y,No,21,4,1,80,0,8.0,1,3,1.0,0.0,0.0,0.0
1126243,46,No,Travel_Frequently,1211,Cardiology,5,4,Marketing,1,1,Male,98,3,2,Nurse,4,Single,5772.0,20445,4,Y,Yes,21,4,3,80,0,14.0,4,3,9.0,6.0,0.0,8.0
1053707,35,No,Travel_Rarely,1229,Maternity,8,1,Life Sciences,1,4,Male,36,4,1,Nurse,4,Married,2269.0,4892,1,Y,No,19,3,4,80,0,1.0,2,3,1.0,0.0,0.0,1.0
1708688,48,Yes,Travel_Rarely,626,Maternity,1,2,Life Sciences,1,1,Male,98,2,3,Nurse,3,Single,5381.0,19294,9,Y,Yes,13,3,4,80,0,23.0,2,3,1.0,0.0,0.0,0.0
1208582,28,Yes,Travel_Rarely,1434,Maternity,5,4,Technical Degree,1,3,Male,50,3,1,Nurse,3,Single,3441.0,11179,1,Y,Yes,13,3,3,80,0,2.0,3,2,2.0,2.0,2.0,2.0
1127416,44,No,Travel_Rarely,1488,Cardiology,1,5,Marketing,1,2,Female,75,3,2,Nurse,1,Divorced,5454.0,4009,5,Y,Yes,21,4,3,80,1,9.0,2,2,4.0,3.0,1.0,3.0
1710090,35,No,Non-Travel,1097,Maternity,11,2,Medical,1,3,Male,79,2,3,Nurse,1,Married,9884.0,8302,2,Y,Yes,13,3,3,80,1,10.0,3,3,4.0,0.0,2.0,3.0
1146606,26,Yes,Travel_Rarely,1443,Cardiology,23,3,Marketing,1,3,Female,47,2,2,Nurse,4,Married,4157.0,21436,7,Y,Yes,19,3,3,80,1,5.0,2,2,2.0,2.0,0.0,0.0
1674685,33,No,Travel_Frequently,515,Neurology,1,2,Life Sciences,1,1,Female,98,3,3,Other,4,Single,13458.0,15146,1,Y,Yes,12,3,3,80,0,15.0,1,3,15.0,14.0,1.0,12.0
1477077,35,No,Travel_Frequently,853,Cardiology,18,5,Life Sciences,1,2,Male,71,3,3,Nurse,1,Married,9069.0,11031,1,Y,No,22,4,4,80,1,9.0,3,2,9.0,8.0,1.0,8.0
1269275,35,No,Travel_Rarely,1142,Maternity,23,4,Medical,1,3,Female,30,3,1,Nurse,1,Married,4014.0,16002,3,Y,Yes,15,3,3,80,1,4.0,3,3,2.0,2.0,2.0,2.0
1620694,31,No,Travel_Rarely,655,Maternity,7,4,Life Sciences,1,4,Male,48,3,2,Nurse,4,Divorced,5915.0,9528,3,Y,No,22,4,4,80,1,10.0,3,2,7.0,7.0,1.0,7.0
1618486,37,No,Travel_Rarely,1115,Neurology,1,4,Life Sciences,1,1,Male,51,2,2,Therapist,3,Divorced,5993.0,2689,1,Y,No,18,3,3,80,1,7.0,2,4,7.0,5.0,0.0,7.0
1208054,32,No,Travel_Rarely,427,Neurology,1,3,Medical,1,1,Male,33,3,2,Therapist,4,Married,6162.0,10877,1,Y,Yes,22,4,2,80,1,9.0,3,3,9.0,8.0,7.0,8.0
1545352,38,No,Travel_Frequently,653,Maternity,29,5,Life Sciences,1,4,Female,50,3,2,Nurse,4,Single,2406.0,5456,1,Y,No,11,3,4,80,0,10.0,2,3,10.0,3.0,1.0,9.0
1665908,50,No,Travel_Rarely,989,Neurology,7,2,Medical,1,2,Female,43,2,5,Other,3,Divorced,4899.0,16701,5,Y,Yes,12,3,4,80,1,10.0,2,2,5.0,3.0,1.0,8.0
1312106,59,No,Travel_Rarely,1435,Cardiology,25,3,Life Sciences,1,1,Female,99,3,3,Nurse,1,Single,7637.0,2354,7,Y,No,11,3,4,80,0,28.0,3,2,5.0,3.0,7.0,9.0
1391215,36,No,Travel_Rarely,1223,Maternity,8,3,Technical Degree,1,3,Female,59,3,3,Nurse,3,Divorced,10096.0,8202,1,Y,No,13,3,2,80,3,17.0,2,3,17.0,14.0,1.0,8.0
1677994,55,No,Travel_Rarely,836,Neurology,8,3,Medical,1,4,Female,33,3,4,Other,3,Divorced,14756.0,19730,2,Y,Yes,14,3,3,80,3,21.0,2,3,5.0,0.0,0.0,2.0
1216003,36,No,Travel_Frequently,1195,Maternity,11,3,Life Sciences,1,2,Male,95,2,2,Therapist,2,Single,6499.0,22656,1,Y,No,13,3,3,80,0,6.0,3,3,6.0,5.0,0.0,3.0
1503437,45,No,Travel_Rarely,1339,Maternity,7,3,Life Sciences,1,2,Male,59,3,3,Other,1,Divorced,9724.0,18787,2,Y,No,17,3,3,80,1,25.0,2,3,1.0,0.0,0.0,0.0
1381585,35,No,Travel_Frequently,664,Maternity,1,3,Medical,1,2,Male,79,3,1,Other,1,Married,2194.0,5868,4,Y,No,13,3,4,80,1,5.0,2,2,3.0,2.0,1.0,2.0
1312369,36,Yes,Travel_Rarely,318,Maternity,9,3,Medical,1,4,Male,79,2,1,Other,3,Married,3388.0,21777,0,Y,Yes,17,3,1,80,1,2.0,0,2,1.0,0.0,0.0,0.0
1576355,59,No,Travel_Frequently,1225,Cardiology,1,1,Life Sciences,1,1,Female,57,2,2,Nurse,3,Single,5473.0,24668,7,Y,No,11,3,4,80,0,20.0,2,2,4.0,3.0,1.0,3.0
1659485,29,No,Travel_Rarely,1328,Maternity,2,3,Life Sciences,1,3,Male,76,3,1,Other,2,Married,2703.0,4956,0,Y,No,23,4,4,80,1,6.0,3,3,5.0,4.0,0.0,4.0
1530200,31,No,Travel_Rarely,1082,Maternity,1,4,Medical,1,3,Male,87,3,1,Other,2,Single,2501.0,18775,1,Y,No,17,3,2,80,0,1.0,4,3,1.0,1.0,1.0,0.0
1773482,32,No,Travel_Rarely,548,Maternity,1,3,Life Sciences,1,2,Male,66,3,2,Other,2,Married,6220.0,7346,1,Y,No,17,3,2,80,2,10.0,3,3,10.0,4.0,0.0,9.0
1188108,36,No,Travel_Rarely,132,Maternity,6,3,Life Sciences,1,2,Female,55,4,1,Nurse,4,Married,3038.0,22002,3,Y,No,12,3,2,80,0,5.0,3,3,1.0,0.0,0.0,0.0
1471418,31,No,Travel_Rarely,746,Cardiology,8,4,Life Sciences,1,3,Female,61,3,2,Therapist,4,Single,4424.0,20682,1,Y,No,23,4,4,80,0,11.0,2,3,11.0,7.0,1.0,8.0
1081842,35,No,Travel_Rarely,776,Cardiology,1,4,Marketing,1,3,Male,32,2,2,Nurse,1,Single,4312.0,23016,0,Y,No,14,3,2,80,0,16.0,2,3,15.0,13.0,2.0,8.0
1146021,45,No,Travel_Rarely,193,Neurology,6,4,Other,1,4,Male,52,3,3,Other,1,Married,13245.0,15067,4,Y,Yes,14,3,2,80,0,17.0,3,4,0.0,0.0,0.0,0.0
1880248,37,No,Travel_Rarely,397,Neurology,7,4,Medical,1,1,Male,30,3,3,Other,3,Single,13664.0,25258,4,Y,No,13,3,1,80,0,16.0,3,4,5.0,2.0,0.0,2.0
1267807,46,No,Travel_Rarely,945,Neurology,5,2,Medical,1,2,Male,80,3,2,Other,2,Divorced,5021.0,10425,8,Y,Yes,22,4,4,80,1,16.0,2,3,4.0,2.0,0.0,2.0
1247348,30,No,Travel_Rarely,852,Maternity,1,1,Life Sciences,1,4,Male,55,2,2,Nurse,4,Married,5126.0,15998,1,Y,Yes,12,3,3,80,2,10.0,1,2,10.0,8.0,3.0,0.0
1886039,35,No,Travel_Rarely,1214,Maternity,1,3,Medical,1,2,Male,30,2,1,Other,3,Single,2859.0,26278,1,Y,No,18,3,1,80,0,6.0,3,3,6.0,4.0,0.0,4.0
1134060,55,No,Travel_Rarely,111,Cardiology,1,2,Life Sciences,1,1,Male,70,3,3,Nurse,4,Married,10239.0,18092,3,Y,No,14,3,4,80,1,24.0,4,3,1.0,0.0,1.0,0.0
1403326,38,No,Non-Travel,573,Maternity,6,3,Medical,1,2,Female,79,1,2,Other,4,Divorced,5329.0,15717,7,Y,Yes,12,3,4,80,3,17.0,3,3,13.0,11.0,1.0,9.0
1689558,34,No,Travel_Rarely,1153,Neurology,1,2,Medical,1,1,Male,94,3,2,Therapist,2,Married,4325.0,17736,1,Y,No,15,3,3,80,0,5.0,2,3,5.0,2.0,1.0,3.0
1122798,56,No,Travel_Rarely,1400,Neurology,7,3,Life Sciences,1,4,Male,49,1,3,Therapist,4,Single,7260.0,21698,4,Y,No,11,3,1,80,0,10.0,3,2,6.0,4.0,0.0,2.0
1477348,23,No,Travel_Rarely,541,Cardiology,2,1,Technical Degree,1,3,Male,62,3,1,Other,1,Divorced,2322.0,9518,3,Y,No,13,3,3,80,1,3.0,3,3,0.0,0.0,0.0,0.0
1061371,51,No,Travel_Rarely,432,Maternity,9,4,Life Sciences,1,4,Male,96,3,1,Nurse,4,Married,2075.0,18725,3,Y,No,23,4,2,80,2,10.0,4,3,4.0,2.0,0.0,3.0
1535342,30,No,Travel_Rarely,288,Maternity,2,3,Life Sciences,1,3,Male,99,2,2,Nurse,4,Married,4152.0,15830,1,Y,No,19,3,1,80,3,11.0,3,3,11.0,10.0,1.0,8.0
1386780,46,No,Travel_Rarely,669,Cardiology,9,2,Medical,1,3,Male,64,2,3,Nurse,4,Single,9619.0,13596,1,Y,No,16,3,4,80,0,9.0,3,3,9.0,8.0,4.0,7.0
1254775,40,No,Travel_Frequently,530,Maternity,1,4,Life Sciences,1,3,Male,78,2,4,Nurse,2,Married,13503.0,14115,1,Y,No,22,4,4,80,1,22.0,3,2,5.0,3.0,1.0,11.0
1818921,51,No,Travel_Rarely,632,Cardiology,21,4,Marketing,1,3,Male,71,3,2,Nurse,4,Single,5441.0,8423,0,Y,Yes,22,4,4,80,0,11.0,2,1,10.0,7.0,1.0,0.0
1848882,30,No,Travel_Rarely,1334,Cardiology,4,2,Medical,1,3,Female,63,2,2,Nurse,2,Divorced,5209.0,19760,1,Y,Yes,12,3,2,80,3,11.0,4,2,11.0,8.0,2.0,7.0
1537412,46,No,Travel_Frequently,638,Maternity,1,3,Medical,1,3,Male,40,2,3,Nurse,1,Married,10673.0,3142,2,Y,Yes,13,3,3,80,1,21.0,5,2,10.0,9.0,1.0,5.0
1231380,32,No,Travel_Rarely,1093,Cardiology,6,4,Medical,1,2,Male,87,3,2,Nurse,3,Single,5010.0,24301,1,Y,No,16,3,1,80,0,12.0,0,3,11.0,8.0,5.0,7.0
1293078,54,No,Travel_Rarely,1217,Neurology,2,4,Technical Degree,1,1,Female,60,3,3,Other,3,Married,13549.0,24001,9,Y,No,12,3,1,80,1,16.0,5,1,4.0,3.0,0.0,3.0
1026798,24,No,Travel_Rarely,1353,Cardiology,3,2,Other,1,1,Female,33,3,2,Nurse,3,Married,4999.0,17519,0,Y,No,21,4,1,80,1,4.0,2,2,3.0,2.0,0.0,2.0
1500402,28,No,Non-Travel,120,Cardiology,4,3,Medical,1,2,Male,43,3,2,Nurse,3,Married,4221.0,8863,1,Y,No,15,3,2,80,0,5.0,3,4,5.0,4.0,0.0,4.0
1514098,58,No,Travel_Rarely,682,Cardiology,10,4,Medical,1,4,Male,37,3,4,Nurse,3,Single,13872.0,24409,0,Y,No,13,3,3,80,0,10.0,1,2,5.0,10.0,1.0,8.0
1487216,44,No,Non-Travel,489,Maternity,23,3,Medical,1,2,Male,67,3,2,Nurse,2,Married,2042.0,25043,4,Y,No,12,3,3,80,1,17.0,3,4,3.0,2.0,1.0,2.0
1843825,37,Yes,Travel_Rarely,807,Neurology,6,4,Human Resources,1,3,Male,63,3,1,Other,1,Divorced,2073.0,23648,4,Y,Yes,22,4,4,80,0,7.0,3,3,3.0,2.0,0.0,2.0
1635251,32,No,Travel_Rarely,827,Maternity,1,1,Life Sciences,1,4,Male,71,3,1,Other,1,Single,2956.0,15178,1,Y,No,13,3,4,80,0,1.0,2,3,1.0,0.0,0.0,0.0
1088304,20,Yes,Travel_Frequently,871,Maternity,6,3,Life Sciences,1,4,Female,66,2,1,Nurse,4,Single,2926.0,19783,1,Y,Yes,18,3,2,80,0,1.0,5,3,1.0,0.0,1.0,0.0
1792856,34,No,Travel_Rarely,665,Maternity,6,4,Other,1,1,Female,41,3,2,Other,3,Single,4809.0,12482,1,Y,No,14,3,3,80,0,16.0,3,3,16.0,13.0,2.0,10.0
1787161,37,No,Non-Travel,1040,Maternity,2,2,Life Sciences,1,3,Male,100,2,2,Nurse,4,Divorced,5163.0,15850,5,Y,No,14,3,4,80,1,17.0,2,4,1.0,0.0,0.0,0.0
1627796,59,No,Non-Travel,1420,Neurology,2,4,Human Resources,1,3,Female,32,2,5,Administrative,4,Married,4899.0,21922,9,Y,No,21,4,4,80,1,10.0,3,3,3.0,2.0,2.0,2.0
1077558,50,No,Travel_Frequently,1115,Neurology,1,3,Life Sciences,1,1,Female,73,3,5,Other,2,Married,4899.0,9755,3,Y,Yes,19,3,1,80,0,28.0,1,2,8.0,3.0,0.0,7.0
1410589,25,Yes,Travel_Rarely,240,Cardiology,5,3,Marketing,1,3,Male,46,2,2,Nurse,3,Single,5744.0,26959,1,Y,Yes,11,3,4,80,0,6.0,1,3,6.0,4.0,0.0,3.0
1657986,25,No,Travel_Rarely,1280,Maternity,7,1,Medical,1,4,Male,64,2,1,Other,4,Married,2889.0,26897,1,Y,No,11,3,3,80,2,2.0,2,3,2.0,2.0,2.0,1.0
1353326,22,No,Travel_Rarely,534,Maternity,15,3,Medical,1,2,Female,59,3,1,Nurse,4,Single,2871.0,23785,1,Y,No,15,3,3,80,0,1.0,5,3,0.0,0.0,0.0,0.0
1523794,51,No,Travel_Frequently,1456,Maternity,1,4,Medical,1,1,Female,30,2,3,Nurse,1,Single,7484.0,25796,3,Y,No,20,4,3,80,0,23.0,1,2,13.0,12.0,1.0,8.0
1851151,34,Yes,Travel_Frequently,658,Maternity,7,3,Life Sciences,1,1,Male,66,1,2,Nurse,3,Single,6074.0,22887,1,Y,Yes,24,4,4,80,0,9.0,3,3,9.0,7.0,0.0,6.0
1645988,54,No,Non-Travel,142,Neurology,26,3,Human Resources,1,4,Female,30,4,4,Administrative,4,Single,4899.0,13871,2,Y,Yes,12,3,3,80,0,23.0,3,3,5.0,3.0,4.0,4.0
1849283,24,No,Travel_Rarely,1127,Maternity,18,1,Life Sciences,1,2,Male,52,3,1,Nurse,3,Married,2774.0,13257,0,Y,No,12,3,3,80,1,6.0,2,3,5.0,3.0,1.0,2.0
1073480,34,No,Travel_Rarely,1031,Maternity,6,4,Life Sciences,1,3,Female,45,2,2,Other,2,Divorced,4505.0,15000,6,Y,No,15,3,3,80,1,12.0,3,3,1.0,0.0,0.0,0.0
1157113,37,No,Travel_Rarely,1189,Cardiology,3,3,Life Sciences,1,3,Male,87,3,3,Nurse,4,Single,7428.0,14506,2,Y,No,12,3,1,80,0,12.0,3,3,5.0,3.0,1.0,3.0
1130224,34,No,Travel_Rarely,1354,Neurology,5,3,Medical,1,3,Female,45,2,3,Other,1,Single,11631.0,5615,2,Y,No,12,3,4,80,0,14.0,6,3,11.0,10.0,5.0,8.0
1427732,36,No,Travel_Frequently,1467,Cardiology,11,2,Technical Degree,1,2,Female,92,3,3,Nurse,4,Married,9738.0,22952,0,Y,No,14,3,3,80,1,10.0,6,3,9.0,7.0,2.0,8.0
1852975,36,No,Travel_Rarely,922,Maternity,3,2,Life Sciences,1,1,Female,39,3,1,Nurse,4,Divorced,2835.0,2561,5,Y,No,22,4,1,80,1,7.0,2,3,1.0,0.0,0.0,0.0
1845017,43,No,Travel_Frequently,394,Cardiology,26,2,Life Sciences,1,3,Male,92,3,4,Administrative,4,Married,4899.0,19494,1,Y,Yes,12,3,4,80,2,25.0,3,4,5.0,12.0,4.0,12.0
1212660,30,No,Travel_Frequently,1312,Maternity,23,3,Life Sciences,1,1,Male,96,1,1,Other,3,Divorced,2613.0,22310,1,Y,No,25,4,3,80,3,10.0,2,2,10.0,7.0,0.0,9.0
1264790,33,No,Non-Travel,750,Cardiology,22,2,Marketing,1,3,Male,95,3,2,Nurse,2,Married,6146.0,15480,0,Y,No,13,3,1,80,1,8.0,2,4,7.0,7.0,0.0,7.0
1515486,56,Yes,Travel_Rarely,441,Maternity,14,4,Life Sciences,1,2,Female,72,3,1,Other,2,Married,4963.0,4510,9,Y,Yes,18,3,1,80,3,7.0,2,3,5.0,4.0,4.0,3.0
1832980,51,No,Travel_Rarely,684,Neurology,6,3,Life Sciences,1,1,Male,51,3,5,Other,3,Single,4899.0,6462,7,Y,No,13,3,3,80,0,23.0,5,3,20.0,3.0,1.0,3.0
1031688,31,Yes,Travel_Rarely,249,Cardiology,6,4,Life Sciences,1,2,Male,76,1,2,Nurse,3,Married,6172.0,20739,4,Y,Yes,18,3,2,80,0,12.0,3,2,7.0,7.0,7.0,7.0
1433172,26,No,Travel_Rarely,841,Maternity,6,3,Other,1,3,Female,46,2,1,Other,2,Married,2368.0,23300,1,Y,No,19,3,3,80,0,5.0,3,2,5.0,4.0,4.0,3.0
